sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,quarter,study_id,study_url,terms_of_use_expiry_date,terms_of_use_url,unrestricted_use,mean_cov,median_cov,modal_cov,mean_cov_2L,median_cov_2L,mode_cov_2L,mean_cov_2R,median_cov_2R,mode_cov_2R,mean_cov_3L,median_cov_3L,mode_cov_3L,mean_cov_3R,median_cov_3R,mode_cov_3R,mean_cov_X,median_cov_X,mode_cov_X,frac_gen_cov,divergence,contam_pct,contam_LLR,aim_species_fraction_arab,aim_species_fraction_colu,aim_species_fraction_colu_no2l,aim_species_gambcolu_arabiensis,aim_species_gambiae_coluzzii,aim_species,country_iso,admin1_name,admin1_iso,admin2_name,taxon,cohort_admin1_year,cohort_admin1_month,cohort_admin1_quarter,cohort_admin2_year,cohort_admin2_month,cohort_admin2_quarter,pop
VBS78361-7065STDY13144018,1323_1240,Alfred Amambua-Ngwa,"Gambia, The",Palang Fula,2019,10,13.564,-14.773,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,17.61,17,17,17.65,17,17,17.37,17,17,17.37,17,17,17.52,17,17,18.74,17,17,0.94,0.02082,0.856,385.208,0.002,0.882,0.886,gambcolu,intermediate,intermediate_gambiae_coluzzii,GMB,Kuntaur,GM-M,Sami,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Sami_colu_2019,GM-M_Sami_colu_2019_10,GM-M_Sami_colu_2019_Q4,VBS78361-7065STDY13144018_coluzzii
VBS77451-7065STDY13143067,1323_0253,Alfred Amambua-Ngwa,"Gambia, The",Palang Fula,2019,8,13.564,-14.773,F,1323-VO-GM-NGWA-VMF00242,3.9,3,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,35.75,36,37,36.03,36,37,35.79,36,37,35.14,36,37,35.43,36,37,36.8,36,36,0.949,0.01976,1.032,1116.691,0.002,0.922,0.929,gambcolu,coluzzii,coluzzii,GMB,Kuntaur,GM-M,Sami,coluzzii,GM-M_colu_2019,GM-M_colu_2019_08,GM-M_colu_2019_Q3,GM-M_Sami_colu_2019,GM-M_Sami_colu_2019_08,GM-M_Sami_colu_2019_Q3,VBS77451-7065STDY13143067_coluzzii
VBS78052-7065STDY13143701,1323_0914,Alfred Amambua-Ngwa,"Gambia, The",Chamoi,2019,10,13.316,-14.166,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,30.35,30,31,30.36,30,31,30.12,30,31,29.91,30,31,30.18,30,31,32.01,30,30,0.943,0.02045,0.413,194.923,0.001,0.839,0.952,gambcolu,coluzzii,coluzzii,GMB,Basse,GM-U,Tumana,coluzzii,GM-U_colu_2019,GM-U_colu_2019_10,GM-U_colu_2019_Q4,GM-U_Tumana_colu_2019,GM-U_Tumana_colu_2019_10,GM-U_Tumana_colu_2019_Q4,VBS78052-7065STDY13143701_coluzzii
VBS78108-7065STDY13143758,1323_0984,Alfred Amambua-Ngwa,"Gambia, The",Jafai,2019,10,13.682,-15.088,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,19.66,19,19,19.77,19,19,19.56,19,20,19.43,19,20,19.41,19,19,20.59,20,19,0.94,0.02064,1.245,784.412,0.002,0.918,0.918,gambcolu,coluzzii,coluzzii,GMB,Janjanbureh,GM-M,Niamina East,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Niamina-East_colu_2019,GM-M_Niamina-East_colu_2019_10,GM-M_Niamina-East_colu_2019_Q4,VBS78108-7065STDY13143758_coluzzii
VBS77594-7065STDY13143215,1323_0398,Alfred Amambua-Ngwa,"Gambia, The",Palang Fula,2019,8,13.564,-14.773,F,1323-VO-GM-NGWA-VMF00242,3.9,3,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,23.36,23,23,23.55,23,23,23.28,23,24,22.93,23,24,23.14,23,24,24.34,23,23,0.943,0.02071,1.429,1201.512,0.001,0.953,0.949,gambcolu,coluzzii,coluzzii,GMB,Kuntaur,GM-M,Sami,coluzzii,GM-M_colu_2019,GM-M_colu_2019_08,GM-M_colu_2019_Q3,GM-M_Sami_colu_2019,GM-M_Sami_colu_2019_08,GM-M_Sami_colu_2019_Q3,VBS77594-7065STDY13143215_coluzzii
VBS78514-7065STDY13144175,1323_1395,Alfred Amambua-Ngwa,"Gambia, The",Sitahuma,2019,10,13.611,-14.837,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,42.07,42,43,42.38,43,43,41.55,42,43,41.37,42,43,41.64,42,43,44.85,43,43,0.95,0.01949,0.594,672.055,0.002,0.86,0.924,gambcolu,coluzzii,coluzzii,GMB,Kuntaur,GM-M,Niani,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Niani_colu_2019,GM-M_Niani_colu_2019_10,GM-M_Niani_colu_2019_Q4,VBS78514-7065STDY13144175_coluzzii
VBS78781-7065STDY13144451,1323_1665,Alfred Amambua-Ngwa,"Gambia, The",Niawurulung,2019,10,13.733,-15.01,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,38.61,39,40,38.92,39,40,38.51,39,40,38.0,39,40,38.15,39,40,40.29,39,39,0.946,0.02068,0.119,46.648,0.002,0.957,0.954,gambcolu,coluzzii,coluzzii,GMB,Kuntaur,GM-M,Nianija,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Nianija_colu_2019,GM-M_Nianija_colu_2019_10,GM-M_Nianija_colu_2019_Q4,VBS78781-7065STDY13144451_coluzzii
VBS77975-7065STDY13143621,1323_0836,Alfred Amambua-Ngwa,"Gambia, The",Bantanto Sukur,2019,10,13.594,-15.157,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,38.0,38,39,38.41,39,39,37.88,39,39,37.39,38,39,37.49,38,39,39.63,38,39,0.949,0.01963,1.04,1480.409,0.003,0.934,0.94,gambcolu,coluzzii,coluzzii,GMB,Janjanbureh,GM-M,Niamina East,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Niamina-East_colu_2019,GM-M_Niamina-East_colu_2019_10,GM-M_Niamina-East_colu_2019_Q4,VBS77975-7065STDY13143621_coluzzii
VBS77456-7065STDY13143072,1323_0258,Alfred Amambua-Ngwa,"Gambia, The",Palang Fula,2019,8,13.564,-14.773,F,1323-VO-GM-NGWA-VMF00242,3.9,3,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,23.1,23,23,23.34,23,23,23.1,23,24,22.76,23,23,22.8,23,23,23.89,23,23,0.943,0.02062,2.051,1800.858,0.002,0.935,0.927,gambcolu,coluzzii,coluzzii,GMB,Kuntaur,GM-M,Sami,coluzzii,GM-M_colu_2019,GM-M_colu_2019_08,GM-M_colu_2019_Q3,GM-M_Sami_colu_2019,GM-M_Sami_colu_2019_08,GM-M_Sami_colu_2019_Q3,VBS77456-7065STDY13143072_coluzzii
VBS78116-7065STDY13143766,1323_0992,Alfred Amambua-Ngwa,"Gambia, The",Jafai,2019,10,13.682,-15.088,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,31.72,32,32,31.96,32,32,31.64,32,33,31.08,32,33,31.33,32,32,33.36,32,32,0.947,0.01957,0.434,258.88,0.002,0.945,0.942,gambcolu,coluzzii,coluzzii,GMB,Janjanbureh,GM-M,Niamina East,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Niamina-East_colu_2019,GM-M_Niamina-East_colu_2019_10,GM-M_Niamina-East_colu_2019_Q4,VBS78116-7065STDY13143766_coluzzii
VBS78533-7065STDY13144195,1323_1414,Alfred Amambua-Ngwa,"Gambia, The",Sitahuma,2019,10,13.611,-14.837,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,29.16,29,30,29.68,30,30,28.91,29,30,28.57,29,30,28.69,29,29,30.77,30,29,0.947,0.01882,0.428,243.913,0.002,0.883,0.896,gambcolu,intermediate,intermediate_gambiae_coluzzii,GMB,Kuntaur,GM-M,Niani,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Niani_colu_2019,GM-M_Niani_colu_2019_10,GM-M_Niani_colu_2019_Q4,VBS78533-7065STDY13144195_coluzzii
VBS79058-7065STDY13144737,1323_1945,Alfred Amambua-Ngwa,"Gambia, The",Ballingho,2019,10,13.493,-15.607,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,31.5,32,32,32.21,32,32,31.38,32,32,30.84,31,32,30.99,31,32,32.55,31,31,0.949,0.01856,1.101,1183.981,0.001,0.93,0.922,gambcolu,coluzzii,coluzzii,GMB,Kerewan,GM-N,Illiasa,coluzzii,GM-N_colu_2019,GM-N_colu_2019_10,GM-N_colu_2019_Q4,GM-N_Illiasa_colu_2019,GM-N_Illiasa_colu_2019_10,GM-N_Illiasa_colu_2019_Q4,VBS79058-7065STDY13144737_coluzzii
VBS77526-7065STDY13143145,1323_0329,Alfred Amambua-Ngwa,"Gambia, The",Palang Fula,2019,8,13.564,-14.773,F,1323-VO-GM-NGWA-VMF00242,3.9,3,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,40.51,41,42,40.89,41,42,40.46,41,42,39.92,41,42,40.0,41,42,42.04,41,41,0.948,0.02057,1.009,1563.503,0.002,0.911,0.899,gambcolu,intermediate,intermediate_gambiae_coluzzii,GMB,Kuntaur,GM-M,Sami,coluzzii,GM-M_colu_2019,GM-M_colu_2019_08,GM-M_colu_2019_Q3,GM-M_Sami_colu_2019,GM-M_Sami_colu_2019_08,GM-M_Sami_colu_2019_Q3,VBS77526-7065STDY13143145_coluzzii
AG0362-C,O-377,Charles Godfray,"Gambia, The",Wali Kunda,2012,10,13.567,-14.917,F,AG1000G-GM-C,3.0,4,AG1000G-GM-3,https://www.malariagen.net/partner_study/AG1000G-GM-3,2025-01-01,https://www.malariagen.net/data/our-approach-sharing-data/ag1000g-terms-of-use/,True,35.7,36,37,35.85,36,37,35.62,36,37,34.95,36,36,35.27,36,37,37.85,36,36,0.94,0.02,0.287,174.887,0.0024904214559386,0.9338605319913732,0.9487179487179488,gambcolu,coluzzii,coluzzii,GMB,Janjanbureh,GM-M,Lower Fuladu West,coluzzii,GM-M_colu_2012,GM-M_colu_2012_10,GM-M_colu_2012_Q4,GM-M_Lower-Fuladu-West_colu_2012,GM-M_Lower-Fuladu-West_colu_2012_10,GM-M_Lower-Fuladu-West_colu_2012_Q4,AG0362-C_coluzzii
VBS78927-7065STDY13144601,1323_1812,Alfred Amambua-Ngwa,"Gambia, The",Sitahuma,2019,10,13.611,-14.837,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,33.54,34,34,33.72,34,34,33.35,34,34,32.93,33,34,33.19,33,34,35.43,34,33,0.947,0.02061,0.806,986.096,0.002,0.892,0.95,gambcolu,coluzzii,coluzzii,GMB,Kuntaur,GM-M,Niani,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Niani_colu_2019,GM-M_Niani_colu_2019_10,GM-M_Niani_colu_2019_Q4,VBS78927-7065STDY13144601_coluzzii
AG0286-C,I-402,Charles Godfray,"Gambia, The",Wali Kunda,2012,10,13.567,-14.917,F,AG1000G-GM-C,3.0,4,AG1000G-GM-3,https://www.malariagen.net/partner_study/AG1000G-GM-3,2025-01-01,https://www.malariagen.net/data/our-approach-sharing-data/ag1000g-terms-of-use/,True,29.61,30,30,29.72,30,30,29.42,30,30,29.18,29,30,29.22,29,30,31.5,30,30,0.94,0.02,0.468,328.237,0.0030668966839179,0.9441660701503222,0.9448105436573312,gambcolu,coluzzii,coluzzii,GMB,Janjanbureh,GM-M,Lower Fuladu West,coluzzii,GM-M_colu_2012,GM-M_colu_2012_10,GM-M_colu_2012_Q4,GM-M_Lower-Fuladu-West_colu_2012,GM-M_Lower-Fuladu-West_colu_2012_10,GM-M_Lower-Fuladu-West_colu_2012_Q4,AG0286-C_coluzzii
VBS77887-7065STDY13143530,1323_0712,Alfred Amambua-Ngwa,"Gambia, The",Chamoi,2019,10,13.316,-14.166,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,38.07,38,39,38.27,38,39,37.72,38,39,37.45,38,39,37.91,38,39,39.97,38,38,0.95,0.01967,0.385,268.504,0.002,0.89,0.945,gambcolu,coluzzii,coluzzii,GMB,Basse,GM-U,Tumana,coluzzii,GM-U_colu_2019,GM-U_colu_2019_10,GM-U_colu_2019_Q4,GM-U_Tumana_colu_2019,GM-U_Tumana_colu_2019_10,GM-U_Tumana_colu_2019_Q4,VBS77887-7065STDY13143530_coluzzii
VBS78061-7065STDY13143710,1323_0923,Alfred Amambua-Ngwa,"Gambia, The",Chamoi,2019,10,13.316,-14.166,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,40.6,41,41,40.86,41,41,40.05,40,41,40.22,41,41,40.34,41,41,42.67,41,40,0.944,0.02068,0.46,393.852,0.001,0.931,0.938,gambcolu,coluzzii,coluzzii,GMB,Basse,GM-U,Tumana,coluzzii,GM-U_colu_2019,GM-U_colu_2019_10,GM-U_colu_2019_Q4,GM-U_Tumana_colu_2019,GM-U_Tumana_colu_2019_10,GM-U_Tumana_colu_2019_Q4,VBS78061-7065STDY13143710_coluzzii
VBS78375-7065STDY13144032,1323_1254,Alfred Amambua-Ngwa,"Gambia, The",Palang Fula,2019,10,13.564,-14.773,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,34.16,34,35,34.32,34,35,34.06,34,35,33.69,34,35,33.81,34,35,35.61,34,34,0.946,0.0206,0.499,375.079,0.001,0.862,0.914,gambcolu,coluzzii,coluzzii,GMB,Kuntaur,GM-M,Sami,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Sami_colu_2019,GM-M_Sami_colu_2019_10,GM-M_Sami_colu_2019_Q4,VBS78375-7065STDY13144032_coluzzii
AG0310-C,I-9,Charles Godfray,"Gambia, The",Wali Kunda,2012,10,13.567,-14.917,F,AG1000G-GM-C,3.0,4,AG1000G-GM-3,https://www.malariagen.net/partner_study/AG1000G-GM-3,2025-01-01,https://www.malariagen.net/data/our-approach-sharing-data/ag1000g-terms-of-use/,True,30.28,30,30,30.41,30,30,29.75,30,30,30.21,30,31,30.21,30,30,31.57,30,29,0.942,0.019,0.42,256.236,0.0017254601226993,0.9136069114470844,0.9470636889991728,gambcolu,coluzzii,coluzzii,GMB,Janjanbureh,GM-M,Lower Fuladu West,coluzzii,GM-M_colu_2012,GM-M_colu_2012_10,GM-M_colu_2012_Q4,GM-M_Lower-Fuladu-West_colu_2012,GM-M_Lower-Fuladu-West_colu_2012_10,GM-M_Lower-Fuladu-West_colu_2012_Q4,AG0310-C_coluzzii
VBS78784-7065STDY13144454,1323_1668,Alfred Amambua-Ngwa,"Gambia, The",Niawurulung,2019,10,13.733,-15.01,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,32.6,33,33,32.88,33,33,32.49,33,34,31.92,33,33,32.33,33,33,34.06,33,33,0.947,0.01969,0.278,141.819,0.001,0.938,0.93,gambcolu,coluzzii,coluzzii,GMB,Kuntaur,GM-M,Nianija,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Nianija_colu_2019,GM-M_Nianija_colu_2019_10,GM-M_Nianija_colu_2019_Q4,VBS78784-7065STDY13144454_coluzzii
AG0307-C,I-3,Charles Godfray,"Gambia, The",Wali Kunda,2012,10,13.567,-14.917,F,AG1000G-GM-C,3.0,4,AG1000G-GM-3,https://www.malariagen.net/partner_study/AG1000G-GM-3,2025-01-01,https://www.malariagen.net/data/our-approach-sharing-data/ag1000g-terms-of-use/,True,32.11,32,32,32.56,32,32,31.7,32,32,31.73,32,33,31.87,32,32,33.38,32,31,0.943,0.019,0.384,251.957,0.0022979701263883,0.7883369330453563,0.8081058726220016,gambcolu,intermediate,intermediate_gambiae_coluzzii,GMB,Janjanbureh,GM-M,Lower Fuladu West,coluzzii,GM-M_colu_2012,GM-M_colu_2012_10,GM-M_colu_2012_Q4,GM-M_Lower-Fuladu-West_colu_2012,GM-M_Lower-Fuladu-West_colu_2012_10,GM-M_Lower-Fuladu-West_colu_2012_Q4,AG0307-C_coluzzii
VBS68703-6411STDY13142726,1270_0944,Alfred Amambua-Ngwa,"Gambia, The",Farato,2019,8,13.439,-16.687,F,1270-VO-MULTI-PAMGEN-VMF00232,3.9,3,1270-VO-MULTI-PAMGEN,https://www.malariagen.net/partner_study/1270-VO-MULTI-PAMGEN,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,38.79,39,40,39.11,40,40,39.36,40,41,37.92,39,40,38.06,39,40,39.86,39,40,0.938,0.02208,0.464,349.005,0.001,0.015,0.017,gambcolu,gambiae,gambiae,GMB,Kanifing,GM-W,Serrekunda West,gambiae,GM-W_gamb_2019,GM-W_gamb_2019_08,GM-W_gamb_2019_Q3,GM-W_Serrekunda-West_gamb_2019,GM-W_Serrekunda-West_gamb_2019_08,GM-W_Serrekunda-West_gamb_2019_Q3,VBS68703-6411STDY13142726_gambiae
VBS77812-7065STDY13143452,1323_0636,Alfred Amambua-Ngwa,"Gambia, The",Chamoi,2019,10,13.316,-14.166,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,37.28,38,38,37.61,38,38,37.15,38,38,37.33,38,39,37.4,38,39,36.58,35,36,0.946,0.02101,0.626,569.188,0.002,0.374,0.431,gambcolu,intermediate,intermediate_gambiae_coluzzii,GMB,Basse,GM-U,Tumana,gambiae,GM-U_gamb_2019,GM-U_gamb_2019_10,GM-U_gamb_2019_Q4,GM-U_Tumana_gamb_2019,GM-U_Tumana_gamb_2019_10,GM-U_Tumana_gamb_2019_Q4,VBS77812-7065STDY13143452_gambiae
VBS47799-6366STDY9854404,E2738,Kevin Opondo,"Gambia, The",Katamima,2019,11,13.548,-15.291,F,1272-VO-GM-OPONDO-VMF00160,3.5,4,1272-VO-GM-OPONDO,https://www.malariagen.net/partner_study/1272-VO-GM-OPONDO,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.5.html#terms-of-use,False,26.36,26,25,26.09,25,25,26.83,26,26,25.33,25,25,25.89,25,25,28.58,27,26,0.936,0.02222,1.818,1906.913,0.0045977011494252,0.0301075268817204,0.0330305532617671,gambcolu,gambiae,gambiae,GMB,Janjanbureh,GM-M,Niamina West,gambiae,GM-M_gamb_2019,GM-M_gamb_2019_11,GM-M_gamb_2019_Q4,GM-M_Niamina-West_gamb_2019,GM-M_Niamina-West_gamb_2019_11,GM-M_Niamina-West_gamb_2019_Q4,VBS47799-6366STDY9854404_gambiae
VBS68691-6411STDY13142714,1270_0821,Alfred Amambua-Ngwa,"Gambia, The",Sotuma samba,2019,8,13.302,-14.31,F,1270-VO-MULTI-PAMGEN-VMF00232,3.9,3,1270-VO-MULTI-PAMGEN,https://www.malariagen.net/partner_study/1270-VO-MULTI-PAMGEN,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,35.49,36,37,35.56,36,36,35.82,36,37,34.66,35,36,35.18,35,36,36.69,36,36,0.939,0.02196,0.5,407.784,0.001,0.018,0.021,gambcolu,gambiae,gambiae,GMB,Basse,GM-U,Jimara,gambiae,GM-U_gamb_2019,GM-U_gamb_2019_08,GM-U_gamb_2019_Q3,GM-U_Jimara_gamb_2019,GM-U_Jimara_gamb_2019_08,GM-U_Jimara_gamb_2019_Q3,VBS68691-6411STDY13142714_gambiae
VBS78057-7065STDY13143706,1323_0919,Alfred Amambua-Ngwa,"Gambia, The",Chamoi,2019,10,13.316,-14.166,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,35.04,35,36,35.29,35,36,34.72,35,35,34.98,35,36,35.1,35,36,35.31,34,34,0.941,0.02122,0.473,358.524,0.0,0.022,0.026,gambcolu,gambiae,gambiae,GMB,Basse,GM-U,Tumana,gambiae,GM-U_gamb_2019,GM-U_gamb_2019_10,GM-U_gamb_2019_Q4,GM-U_Tumana_gamb_2019,GM-U_Tumana_gamb_2019_10,GM-U_Tumana_gamb_2019_Q4,VBS78057-7065STDY13143706_gambiae
VBS78074-7065STDY13143723,1323_0943,Alfred Amambua-Ngwa,"Gambia, The",Farato,2019,10,13.439,-16.687,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,38.91,39,40,39.02,39,40,38.52,39,40,38.62,39,40,38.99,39,40,40.06,39,40,0.941,0.02189,0.271,133.939,0.002,0.068,0.025,gambcolu,gambiae,gambiae,GMB,Kanifing,GM-W,Serrekunda West,gambiae,GM-W_gamb_2019,GM-W_gamb_2019_10,GM-W_gamb_2019_Q4,GM-W_Serrekunda-West_gamb_2019,GM-W_Serrekunda-West_gamb_2019_10,GM-W_Serrekunda-West_gamb_2019_Q4,VBS78074-7065STDY13143723_gambiae
VBS78706-7065STDY13144374,1323_1589,Alfred Amambua-Ngwa,"Gambia, The",Niawurulung,2019,10,13.733,-15.01,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,31.85,32,33,32.1,32,33,31.82,32,33,31.61,32,33,31.56,32,33,32.45,32,32,0.939,0.02213,0.443,261.075,0.001,0.047,0.049,gambcolu,gambiae,gambiae,GMB,Kuntaur,GM-M,Nianija,gambiae,GM-M_gamb_2019,GM-M_gamb_2019_10,GM-M_gamb_2019_Q4,GM-M_Nianija_gamb_2019,GM-M_Nianija_gamb_2019_10,GM-M_Nianija_gamb_2019_Q4,VBS78706-7065STDY13144374_gambiae
VBS78328-7065STDY13143985,1323_1207,Alfred Amambua-Ngwa,"Gambia, The",Palang Fula,2019,10,13.564,-14.773,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,26.97,27,27,27.15,27,27,26.71,27,27,26.87,27,27,27.05,27,27,27.31,26,27,0.938,0.02216,0.485,194.509,0.002,0.054,0.061,gambcolu,gambiae,gambiae,GMB,Kuntaur,GM-M,Sami,gambiae,GM-M_gamb_2019,GM-M_gamb_2019_10,GM-M_gamb_2019_Q4,GM-M_Sami_gamb_2019,GM-M_Sami_gamb_2019_10,GM-M_Sami_gamb_2019_Q4,VBS78328-7065STDY13143985_gambiae
VBS78282-7065STDY13143937,1323_1160,Alfred Amambua-Ngwa,"Gambia, The",Chamoi,2019,10,13.316,-14.166,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,34.27,34,35,34.37,35,35,34.23,35,35,34.04,34,35,34.09,34,35,35.0,34,34,0.942,0.02113,0.358,182.444,0.002,0.08,0.091,gambcolu,gambiae,gambiae,GMB,Basse,GM-U,Tumana,gambiae,GM-U_gamb_2019,GM-U_gamb_2019_10,GM-U_gamb_2019_Q4,GM-U_Tumana_gamb_2019,GM-U_Tumana_gamb_2019_10,GM-U_Tumana_gamb_2019_Q4,VBS78282-7065STDY13143937_gambiae
VBS48109-6366STDY9854709,E1914,Kevin Opondo,"Gambia, The",Kossemar,2019,9,13.331,-14.376,F,1272-VO-GM-OPONDO-VMF00160,3.5,3,1272-VO-GM-OPONDO,https://www.malariagen.net/partner_study/1272-VO-GM-OPONDO,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.5.html#terms-of-use,False,30.04,30,30,30.03,30,30,30.2,30,31,29.32,29,30,29.71,30,30,31.68,31,31,0.938,0.02212,1.05,843.278,0.0011494252873563,0.045,0.0518092105263157,gambcolu,gambiae,gambiae,GMB,Basse,GM-U,Jimara,gambiae,GM-U_gamb_2019,GM-U_gamb_2019_09,GM-U_gamb_2019_Q3,GM-U_Jimara_gamb_2019,GM-U_Jimara_gamb_2019_09,GM-U_Jimara_gamb_2019_Q3,VBS48109-6366STDY9854709_gambiae
