pos id distance(cM) cumulative(cM) rate(cM/Mb)
872715 sid238 0.001369 0.851522 1.00
872992 sid239 0.000277 0.851799 1.00
873286 sid240 0.000294 0.852093 1.00
874116 sid242 0.000830 0.852923 1.00
874536 sid243 0.000420 0.853343 1.00
875831 sid246 0.001295 0.854638 1.00
881884 sid248 0.006053 0.860691 1.00
882429 sid249 0.000545 0.861236 1.00
882922 sid250 0.000493 0.861729 1.00
883540 sid251 0.000618 0.862347 1.00
884123 sid252 0.000583 0.862930 1.00
891653 sid255 0.007530 0.870460 1.00
896277 sid259 0.004624 0.875084 1.00
896477 sid260 0.000200 0.875284 1.00
902974 sid261 0.006497 0.881781 1.00
946887 sid262 0.043913 0.925694 1.00
952185 sid263 0.005298 0.930992 1.00
955988 sid265 0.003803 0.934795 1.00
956814 sid268 0.000826 0.935621 1.00
959865 sid269 0.003051 0.938672 1.00
962155 sid270 0.002290 0.940962 1.00
1013443 sid275 0.051288 0.992250 1.00
1014452 sid277 0.001009 0.993259 1.00
1015349 sid279 0.000897 0.994156 1.00
1021495 sid283 0.006146 1.000302 1.00
1028615 sid285 0.007120 1.007422 1.00
1040905 sid286 0.012290 1.019712 1.00
1075934 sid287 0.035029 1.054741 1.00
1100715 sid289 0.024781 1.079522 1.00
1152552 sid294 0.051837 1.131359 1.00
1162226 sid299 0.009674 1.141033 1.00
1163072 sid301 0.000846 1.141879 1.00
1237583 sid303 0.074511 1.216390 1.00
1238255 sid304 0.000672 1.217062 1.00
1239804 sid306 0.001549 1.218611 1.00
1240307 sid307 0.000503 1.219114 1.00
1241015 sid308 0.000708 1.219822 1.00
1244140 sid312 0.003125 1.222947 1.00
1247034 sid315 0.002894 1.225841 1.00
1247487 sid316 0.000453 1.226294 1.00
1251517 sid319 0.004030 1.230324 1.00
1252521 sid321 0.001004 1.231328 1.00
1259213 sid323 0.006692 1.238020 1.00
1266096 sid327 0.006883 1.244903 1.00
1267074 sid329 0.000978 1.245881 1.00
1268172 sid331 0.001098 1.246979 1.00
1272832 sid333 0.004660 1.251639 1.00
1275631 sid335 0.002799 1.254438 1.00
1275967 sid336 0.000336 1.254774 1.00
1276514 sid337 0.000547 1.255321 1.00
1276926 sid338 0.000412 1.255733 1.00
1277762 sid340 0.000836 1.256569 1.00
1278116 sid341 0.000354 1.256923 1.00
1279057 sid342 0.000941 1.257864 1.00
1280983 sid345 0.001926 1.259790 1.00
1287869 sid353 0.006886 1.266676 1.00
1288669 sid354 0.000800 1.267476 1.00
1289376 sid355 0.000707 1.268183 1.00
1290394 sid357 0.001018 1.269201 1.00
1290802 sid358 0.000408 1.269609 1.00
1291216 sid359 0.000414 1.270023 1.00
1291653 sid360 0.000437 1.270460 1.00
1295169 sid364 0.003516 1.273976 1.00
1295770 sid365 0.000601 1.274577 1.00
1297215 sid367 0.001445 1.276022 1.00
1298542 sid369 0.001327 1.277349 1.00
1299010 sid370 0.000468 1.277817 1.00
1299466 sid371 0.000456 1.278273 1.00
1300924 sid373 0.001458 1.279731 1.00
1301425 sid374 0.000501 1.280232 1.00
1301765 sid375 0.000340 1.280572 1.00
1302165 sid376 0.000400 1.280972 1.00
1303066 sid377 0.000901 1.281873 1.00
1319729 sid379 0.016663 1.298536 1.00
1330803 sid380 0.011074 1.309610 1.00
1335789 sid385 0.004986 1.314596 1.00
1336705 sid386 0.000916 1.315512 1.00
1352602 sid388 0.015897 1.331409 1.00
1386034 sid391 0.033432 1.364841 1.00
1386538 sid392 0.000504 1.365345 1.00
1400356 sid393 0.013818 1.379163 1.00
1418275 sid394 0.017919 1.397082 1.00
1419802 sid398 0.001527 1.398609 1.00
1420293 sid400 0.000491 1.399100 1.00
1420551 sid401 0.000258 1.399358 1.00
1420964 sid402 0.000413 1.399771 1.00
1421362 sid403 0.000398 1.400169 1.00
1479332 sid405 0.057970 1.458139 1.00
1479691 sid406 0.000359 1.458498 1.00
1481218 sid408 0.001527 1.460025 1.00
1481698 sid410 0.000480 1.460505 1.00
1491613 sid411 0.009915 1.470420 1.00
1493484 sid413 0.001871 1.472291 1.00
1499303 sid416 0.005819 1.478110 1.00
1499778 sid417 0.000475 1.478585 1.00
1500126 sid418 0.000348 1.478933 1.00
1500636 sid419 0.000510 1.479443 1.00
1521943 sid420 0.021307 1.500750 1.00
1543289 sid421 0.021346 1.522096 1.00
1545864 sid422 0.002575 1.524671 1.00
1554750 sid425 0.008886 1.533557 1.00
1556805 sid426 0.002055 1.535612 1.00
1557210 sid427 0.000405 1.536017 1.00
1559136 sid428 0.001926 1.537943 1.00
1560421 sid431 0.001285 1.539228 1.00
1561073 sid432 0.000652 1.539880 1.00
1561653 sid433 0.000580 1.540460 1.00
1562095 sid434 0.000442 1.540902 1.00
1564302 sid437 0.002207 1.543109 1.00
1567605 sid441 0.003303 1.546412 1.00
1575664 sid450 0.008059 1.554471 1.00
1582205 sid454 0.006541 1.561012 1.00
1593173 sid456 0.010968 1.571980 1.00
1593891 sid457 0.000718 1.572698 1.00
1601066 sid459 0.007175 1.579873 1.00
1606787 sid460 0.005721 1.585594 1.00
1607995 sid463 0.001208 1.586802 1.00
1609277 sid465 0.001282 1.588084 1.00
1611000 sid468 0.001723 1.589807 1.00
1612107 sid470 0.001107 1.590914 1.00
1613056 sid472 0.000949 1.591863 1.00
1618056 sid478 0.005000 1.596863 1.00
1620115 sid481 0.002059 1.598922 1.00
1620708 sid482 0.000593 1.599515 1.00
1621295 sid483 0.000587 1.600102 1.00
1621873 sid484 0.000578 1.600680 1.00
1625643 sid489 0.003770 1.604450 1.00
1627457 sid492 0.001814 1.606264 1.00
1630278 sid495 0.002821 1.609085 1.00
1640714 sid502 0.010436 1.619521 1.00
1641425 sid503 0.000711 1.620232 1.00
1642645 sid505 0.001220 1.621452 1.00
1648343 sid508 0.005698 1.627150 1.00
1649191 sid509 0.000848 1.627998 1.00
1649790 sid510 0.000599 1.628597 1.00
1650698 sid512 0.000908 1.629505 1.00
1651772 sid514 0.001074 1.630579 1.00
1653591 sid517 0.001819 1.632398 1.00
1655418 sid519 0.001827 1.634225 1.00
1656276 sid521 0.000858 1.635083 1.00
1657587 sid522 0.001311 1.636394 1.00
1658560 sid524 0.000973 1.637367 1.00
1659217 sid525 0.000657 1.638024 1.00
1660232 sid526 0.001015 1.639039 1.00
1660967 sid527 0.000735 1.639774 1.00
1662956 sid529 0.001989 1.641763 1.00
1664387 sid532 0.001431 1.643194 1.00
1664945 sid533 0.000558 1.643752 1.00
1688811 sid534 0.023866 1.667618 1.00
1690188 sid536 0.001377 1.668995 1.00
1690847 sid537 0.000659 1.669654 1.00
1709115 sid538 0.018268 1.687922 1.00
1724365 sid542 0.015250 1.703172 1.00
1724946 sid543 0.000581 1.703753 1.00
1725898 sid545 0.000952 1.704705 1.00
1726290 sid546 0.000392 1.705097 1.00
1728204 sid548 0.001914 1.707011 1.00
1730023 sid550 0.001819 1.708830 1.00
1730539 sid551 0.000516 1.709346 1.00
1731673 sid552 0.001134 1.710480 1.00
1732507 sid554 0.000834 1.711314 1.00
1737644 sid556 0.005137 1.716451 1.00
1738933 sid557 0.001289 1.717740 1.00
1744709 sid560 0.005776 1.723516 1.00
1746126 sid561 0.001417 1.724933 1.00
1747427 sid562 0.001301 1.726234 1.00
1748160 sid564 0.000733 1.726967 1.00
1759349 sid566 0.011189 1.738156 1.00
1759649 sid567 0.000300 1.738456 1.00
1763068 sid571 0.003419 1.741875 1.00
1764428 sid574 0.001360 1.743235 1.00
1764515 sid575 0.000087 1.743322 1.00
1765630 sid577 0.001115 1.744437 1.00
1767655 sid580 0.002025 1.746462 1.00
1768187 sid581 0.000532 1.746994 1.00
1768519 sid582 0.000332 1.747326 1.00
1769252 sid583 0.000733 1.748059 1.00
1770091 sid585 0.000839 1.748898 1.00
1773420 sid590 0.003329 1.752227 1.00
1773948 sid591 0.000528 1.752755 1.00
1774340 sid592 0.000392 1.753147 1.00
1776488 sid594 0.002148 1.755295 1.00
1778780 sid595 0.002292 1.757587 1.00
1780488 sid598 0.001708 1.759295 1.00
1781050 sid599 0.000562 1.759857 1.00
1782114 sid600 0.001064 1.760921 1.00
1782728 sid601 0.000614 1.761535 1.00
1784293 sid604 0.001565 1.763100 1.00
1785258 sid606 0.000965 1.764065 1.00
1787195 sid610 0.001937 1.766002 1.00
1794161 sid614 0.006966 1.772968 1.00
1797576 sid615 0.003415 1.776383 1.00
1801933 sid616 0.004357 1.780740 1.00
1805354 sid620 0.003421 1.784161 1.00
1806241 sid621 0.000887 1.785048 1.00
1806882 sid622 0.000641 1.785689 1.00
1808494 sid624 0.001612 1.787301 1.00
1809654 sid626 0.001160 1.788461 1.00
1810078 sid627 0.000424 1.788885 1.00
1811524 sid629 0.001446 1.790331 1.00
1812182 sid630 0.000658 1.790989 1.00
1812517 sid631 0.000335 1.791324 1.00
1813826 sid635 0.001309 1.792633 1.00
1814750 sid637 0.000924 1.793557 1.00
1815629 sid638 0.000879 1.794436 1.00
1816879 sid639 0.001250 1.795686 1.00
1826622 sid641 0.009743 1.805429 1.00
1832615 sid643 0.005993 1.811422 1.00
1834564 sid647 0.001949 1.813371 1.00
1835433 sid649 0.000869 1.814240 1.00
1835903 sid650 0.000470 1.814710 1.00
1836446 sid651 0.000543 1.815253 1.00
1844511 sid654 0.008065 1.823318 1.00
1844868 sid655 0.000357 1.823675 1.00
1845350 sid656 0.000482 1.824157 1.00
1846471 sid658 0.001121 1.825278 1.00
1847075 sid659 0.000604 1.825882 1.00
1848012 sid661 0.000937 1.826819 1.00
1848405 sid662 0.000393 1.827212 1.00
1851377 sid665 0.002972 1.830184 1.00
1851763 sid666 0.000386 1.830570 1.00
1852812 sid667 0.001049 1.831619 1.00
1854231 sid668 0.001419 1.833038 1.00
1855920 sid671 0.001689 1.834727 1.00
1856552 sid672 0.000632 1.835359 1.00
1857863 sid675 0.001311 1.836670 1.00
1859397 sid677 0.001534 1.838204 1.00
1859930 sid678 0.000533 1.838737 1.00
1862136 sid681 0.002206 1.840943 1.00
1863590 sid682 0.001454 1.842397 1.00
1864138 sid684 0.000548 1.842945 1.00
1864959 sid686 0.000821 1.843766 1.00
1878593 sid692 0.013634 1.857400 1.00
1879438 sid694 0.000845 1.858245 1.00
1881250 sid698 0.001812 1.860057 1.00
1881893 sid699 0.000643 1.860700 1.00
1882815 sid700 0.000922 1.861622 1.00
1884760 sid703 0.001945 1.863567 1.00
1885325 sid704 0.000565 1.864132 1.00
1885788 sid705 0.000463 1.864595 1.00
1886740 sid707 0.000952 1.865547 1.00
1887462 sid708 0.000722 1.866269 1.00
1888750 sid710 0.001288 1.867557 1.00
1889439 sid711 0.000689 1.868246 1.00
1893958 sid715 0.004519 1.872765 1.00
1895360 sid718 0.001402 1.874167 1.00
1896071 sid720 0.000711 1.874878 1.00
1897743 sid723 0.001672 1.876550 1.00
1898754 sid725 0.001011 1.877561 1.00
1899471 sid726 0.000717 1.878278 1.00
1899948 sid728 0.000477 1.878755 1.00
1900862 sid729 0.000914 1.879669 1.00
1902041 sid731 0.001179 1.880848 1.00
1905213 sid735 0.003172 1.884020 1.00
1906862 sid737 0.001649 1.885669 1.00
1908041 sid738 0.001179 1.886848 1.00
1909255 sid740 0.001214 1.888062 1.00
1910236 sid742 0.000981 1.889043 1.00
1910609 sid743 0.000373 1.889416 1.00
1911580 sid745 0.000971 1.890387 1.00
1913883 sid747 0.002303 1.892690 1.00
1915159 sid749 0.001276 1.893966 1.00
1916107 sid750 0.000948 1.894914 1.00
1917020 sid752 0.000913 1.895827 1.00
1917439 sid753 0.000419 1.896246 1.00
1918417 sid755 0.000978 1.897224 1.00
1920136 sid758 0.001719 1.898943 1.00
1921025 sid760 0.000889 1.899832 1.00
1937672 sid762 0.016647 1.916479 1.00
1938753 sid764 0.001081 1.917560 1.00
1940306 sid767 0.001553 1.919113 1.00
1941159 sid769 0.000853 1.919966 1.00
1941653 sid770 0.000494 1.920460 1.00
1942101 sid771 0.000448 1.920908 1.00
1942477 sid772 0.000376 1.921284 1.00
1943596 sid775 0.001119 1.922403 1.00
1944039 sid776 0.000443 1.922846 1.00
1944511 sid777 0.000472 1.923318 1.00
1945900 sid780 0.001389 1.924707 1.00
1946363 sid781 0.000463 1.925170 1.00
1946669 sid782 0.000306 1.925476 1.00
1947409 sid784 0.000740 1.926216 1.00
1948667 sid787 0.001258 1.927474 1.00
1950264 sid790 0.001597 1.929071 1.00
1950942 sid791 0.000678 1.929749 1.00
1952233 sid793 0.001291 1.931040 1.00
1954166 sid796 0.001933 1.932973 1.00
1954555 sid797 0.000389 1.933362 1.00
1960924 sid802 0.006369 1.939731 1.00
1961401 sid803 0.000477 1.940208 1.00
1962098 sid804 0.000697 1.940905 1.00
1962806 sid805 0.000708 1.941613 1.00
1963447 sid807 0.000641 1.942254 1.00
1964584 sid810 0.001137 1.943391 1.00
1966262 sid814 0.001678 1.945069 1.00
1968439 sid819 0.002177 1.947246 1.00
1970271 sid823 0.001832 1.949078 1.00
1972982 sid830 0.002711 1.951789 1.00
1973759 sid833 0.000777 1.952566 1.00
1974590 sid835 0.000831 1.953397 1.00
1975878 sid838 0.001288 1.954685 1.00
1976393 sid839 0.000515 1.955200 1.00
1979435 sid844 0.003042 1.958242 1.00
1979738 sid845 0.000303 1.958545 1.00
1980271 sid846 0.000533 1.959078 1.00
1981011 sid848 0.000740 1.959818 1.00
1983533 sid852 0.002522 1.962340 1.00
1984430 sid854 0.000897 1.963237 1.00
1986001 sid858 0.001571 1.964808 1.00
1986533 sid859 0.000532 1.965340 1.00
1987273 sid861 0.000740 1.966080 1.00
1988709 sid864 0.001436 1.967516 1.00
1989623 sid866 0.000914 1.968430 1.00
1989895 sid867 0.000272 1.968702 1.00
1991309 sid870 0.001414 1.970116 1.00
1992721 sid871 0.001412 1.971528 1.00
1992991 sid872 0.000270 1.971798 1.00
1993901 sid874 0.000910 1.972708 1.00
1995395 sid876 0.001494 1.974202 1.00
1995653 sid877 0.000258 1.974460 1.00
1999230 sid884 0.003577 1.978037 1.00
1999856 sid885 0.000626 1.978663 1.00
2000524 sid886 0.000668 1.979331 1.00
2001580 sid889 0.001056 1.980387 1.00
2001984 sid890 0.000404 1.980791 1.00
2004362 sid894 0.002378 1.983169 1.00
2005204 sid896 0.000842 1.984011 1.00
2006950 sid899 0.001746 1.985757 1.00
2007293 sid900 0.000343 1.986100 1.00
2007691 sid901 0.000398 1.986498 1.00
2008183 sid902 0.000492 1.986990 1.00
2008851 sid903 0.000668 1.987658 1.00
2009398 sid904 0.000547 1.988205 1.00
2013626 sid914 0.004228 1.992433 1.00
2016231 sid921 0.002605 1.995038 1.00
2016640 sid922 0.000409 1.995447 1.00
2017802 sid925 0.001162 1.996609 1.00
2020064 sid929 0.002262 1.998871 1.00
2020888 sid931 0.000824 1.999695 1.00
2021899 sid933 0.001011 2.000706 1.00
2022604 sid935 0.000705 2.001411 1.00
2022989 sid936 0.000385 2.001796 1.00
2023637 sid938 0.000648 2.002444 1.00
2023925 sid939 0.000288 2.002732 1.00
2024501 sid940 0.000576 2.003308 1.00
2025203 sid942 0.000702 2.004010 1.00
2025592 sid943 0.000389 2.004399 1.00
2026085 sid944 0.000493 2.004892 1.00
2027678 sid947 0.001593 2.006485 1.00
2028187 sid948 0.000509 2.006994 1.00
2028741 sid950 0.000554 2.007548 1.00
2029115 sid951 0.000374 2.007922 1.00
2029463 sid952 0.000348 2.008270 1.00
2030268 sid954 0.000805 2.009075 1.00
2031264 sid956 0.000996 2.010071 1.00
2031603 sid957 0.000339 2.010410 1.00
2032922 sid960 0.001319 2.011729 1.00
2033585 sid962 0.000663 2.012392 1.00
2034076 sid963 0.000491 2.012883 1.00
2034643 sid964 0.000567 2.013450 1.00
2036207 sid969 0.001564 2.015014 1.00
2036565 sid970 0.000358 2.015372 1.00
2037235 sid971 0.000670 2.016042 1.00
2037672 sid972 0.000437 2.016479 1.00
2039207 sid975 0.001535 2.018014 1.00
2040469 sid978 0.001262 2.019276 1.00
2041039 sid979 0.000570 2.019846 1.00
2041611 sid980 0.000572 2.020418 1.00
2042593 sid982 0.000982 2.021400 1.00
2043371 sid984 0.000778 2.022178 1.00
2043792 sid985 0.000421 2.022599 1.00
2044803 sid988 0.001011 2.023610 1.00
2045209 sid989 0.000406 2.024016 1.00
2045560 sid990 0.000351 2.024367 1.00
2046632 sid993 0.001072 2.025439 1.00
2047011 sid994 0.000379 2.025818 1.00
2048694 sid997 0.001683 2.027501 1.00
2049237 sid998 0.000543 2.028044 1.00
2051381 sid1002 0.002144 2.030188 1.00
2051806 sid1003 0.000425 2.030613 1.00
2054623 sid1006 0.002817 2.033430 1.00
2055060 sid1007 0.000437 2.033867 1.00
2055365 sid1008 0.000305 2.034172 1.00
2055785 sid1009 0.000420 2.034592 1.00
2056268 sid1010 0.000483 2.035075 1.00
2056731 sid1011 0.000463 2.035538 1.00
2057165 sid1012 0.000434 2.035972 1.00
2058304 sid1014 0.001139 2.037111 1.00
2058785 sid1015 0.000481 2.037592 1.00
2059760 sid1018 0.000975 2.038567 1.00
2060978 sid1020 0.001218 2.039785 1.00
2061408 sid1021 0.000430 2.040215 1.00
2064738 sid1023 0.003330 2.043545 1.00
2065369 sid1024 0.000631 2.044176 1.00
2066354 sid1026 0.000985 2.045161 1.00
2067072 sid1028 0.000718 2.045879 1.00
2067478 sid1029 0.000406 2.046285 1.00
2067909 sid1030 0.000431 2.046716 1.00
2069488 sid1031 0.001579 2.048295 1.00
2070758 sid1033 0.001270 2.049565 1.00
2073079 sid1038 0.002321 2.051886 1.00
2074319 sid1040 0.001240 2.053126 1.00
2075156 sid1042 0.000837 2.053963 1.00
2075468 sid1043 0.000312 2.054275 1.00
2076134 sid1044 0.000666 2.054941 1.00
2077149 sid1046 0.001015 2.055956 1.00
2078071 sid1048 0.000922 2.056878 1.00
2078591 sid1049 0.000520 2.057398 1.00
2080355 sid1050 0.001764 2.059162 1.00
2080582 sid1051 0.000227 2.059389 1.00
2081032 sid1052 0.000450 2.059839 1.00
2082566 sid1056 0.001534 2.061373 1.00
2083007 sid1057 0.000441 2.061814 1.00
2084015 sid1060 0.001008 2.062822 1.00
2084426 sid1061 0.000411 2.063233 1.00
2086773 sid1064 0.002347 2.065580 1.00
2087152 sid1065 0.000379 2.065959 1.00
2087473 sid1066 0.000321 2.066280 1.00
2087763 sid1067 0.000290 2.066570 1.00
2088178 sid1068 0.000415 2.066985 1.00
2088701 sid1069 0.000523 2.067508 1.00
2091309 sid1073 0.002608 2.070116 1.00
2093197 sid1077 0.001888 2.072004 1.00
2093512 sid1078 0.000315 2.072319 1.00
2096202 sid1084 0.002690 2.075009 1.00
2097634 sid1088 0.001432 2.076441 1.00
2102702 sid1090 0.005068 2.081509 1.00
2103210 sid1091 0.000508 2.082017 1.00
2104052 sid1093 0.000842 2.082859 1.00
2106237 sid1096 0.002185 2.085044 1.00
2106697 sid1097 0.000460 2.085504 1.00
2108397 sid1102 0.001700 2.087204 1.00
2109387 sid1104 0.000990 2.088194 1.00
2110024 sid1105 0.000637 2.088831 1.00
2111170 sid1107 0.001146 2.089977 1.00
2112115 sid1109 0.000945 2.090922 1.00
2112571 sid1110 0.000456 2.091378 1.00
2113019 sid1111 0.000448 2.091826 1.00
2114960 sid1115 0.001941 2.093767 1.00
2115895 sid1117 0.000935 2.094702 1.00
2116484 sid1118 0.000589 2.095291 1.00
2119366 sid1123 0.002882 2.098173 1.00
2125311 sid1125 0.005945 2.104118 1.00
2126225 sid1127 0.000914 2.105032 1.00
2126610 sid1128 0.000385 2.105417 1.00
2127916 sid1131 0.001306 2.106723 1.00
2129337 sid1134 0.001421 2.108144 1.00
2129960 sid1135 0.000623 2.108767 1.00
2131338 sid1137 0.001378 2.110145 1.00
2132552 sid1140 0.001214 2.111359 1.00
2133166 sid1141 0.000614 2.111973 1.00
2133764 sid1142 0.000598 2.112571 1.00
2134159 sid1143 0.000395 2.112966 1.00
2134666 sid1144 0.000507 2.113473 1.00
2136124 sid1147 0.001458 2.114931 1.00
2136692 sid1148 0.000568 2.115499 1.00
2137878 sid1151 0.001186 2.116685 1.00
2140024 sid1155 0.002146 2.118831 1.00
2142171 sid1158 0.002147 2.120978 1.00
2143455 sid1159 0.001284 2.122262 1.00
2147452 sid1161 0.003997 2.126259 1.00
2147861 sid1162 0.000409 2.126668 1.00
2149297 sid1164 0.001436 2.128104 1.00
2150309 sid1165 0.001012 2.129116 1.00
2151464 sid1168 0.001155 2.130271 1.00
2152266 sid1170 0.000802 2.131073 1.00
2152630 sid1171 0.000364 2.131437 1.00
2153404 sid1173 0.000774 2.132211 1.00
2154071 sid1175 0.000667 2.132878 1.00
2154481 sid1176 0.000410 2.133288 1.00
2155453 sid1178 0.000972 2.134260 1.00
2156042 sid1179 0.000589 2.134849 1.00
2157800 sid1183 0.001758 2.136607 1.00
2158688 sid1185 0.000888 2.137495 1.00
2159132 sid1186 0.000444 2.137939 1.00
2160083 sid1188 0.000951 2.138890 1.00
2161125 sid1190 0.001042 2.139932 1.00
2161973 sid1192 0.000848 2.140780 1.00
2162509 sid1193 0.000536 2.141316 1.00
2162834 sid1194 0.000325 2.141641 1.00
2163196 sid1195 0.000362 2.142003 1.00
2163675 sid1196 0.000479 2.142482 1.00
2165659 sid1200 0.001984 2.144466 1.00
2166828 sid1202 0.001169 2.145635 1.00
2169065 sid1208 0.002237 2.147872 1.00
2169450 sid1209 0.000385 2.148257 1.00
2169778 sid1210 0.000328 2.148585 1.00
2170853 sid1211 0.001075 2.149660 1.00
2171285 sid1212 0.000432 2.150092 1.00
2171667 sid1213 0.000382 2.150474 1.00
2172476 sid1215 0.000809 2.151283 1.00
2174204 sid1218 0.001728 2.153011 1.00
2174992 sid1220 0.000788 2.153799 1.00
2175443 sid1221 0.000451 2.154250 1.00
2176014 sid1222 0.000571 2.154821 1.00
2176629 sid1224 0.000615 2.155436 1.00
2177048 sid1225 0.000419 2.155855 1.00
2177519 sid1226 0.000471 2.156326 1.00
2180271 sid1230 0.002752 2.159078 1.00
2180586 sid1231 0.000315 2.159393 1.00
2180977 sid1232 0.000391 2.159784 1.00
2181522 sid1233 0.000545 2.160329 1.00
